# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun  3 14:56:09 2024
#
# CONSTRAINT:  where (immodeldef =1)
#
# COLUMN plntname:       Planet Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN imdelthmag:     Delta mag H-band (planet-host) [mag]
# COLUMN imdelthmagerr:  Delta mag H-band (planet-host) Unc. [mag]
# COLUMN imdelthmaglim:  Delta mag H-band (planet-host) Limit Flag
# COLUMN imdeltjmag:     Delta mag J-band (planet-host) [mag]
# COLUMN imdeltjmagerr:  Delta mag J-band (planet-host) Unc. [mag]
# COLUMN imdeltjmaglim:  Delta mag J-band (planet-host) Limit Flag
# COLUMN imdeltkmag:     Delta mag K-band (planet-host) [mag]
# COLUMN imdeltkmagerr:  Delta mag K-band (planet-host) Unc. [mag]
# COLUMN imdeltkmaglim:  Delta mag K-band (planet-host) Limit Flag
# COLUMN imdeltlpmag:    Delta mag Lp-band (planet-host) [mag]
# COLUMN imdeltlpmagerr: Delta mag Lp-band (planet-host) Unc. [mag]
# COLUMN imdeltlpmaglim: Delta mag Lp-band (planet-host) Limit Flag
# COLUMN imangsep:       Projected separation star-planet [arcsec]
# COLUMN imangseperr1:   Projected separation star-planet Upper Unc. [arcsec]
# COLUMN imangseperr2:   Projected separation star-planet Lower Unc. [arcsec]
# COLUMN imangseplim:    Projected separation star-planet Limit Flag
# COLUMN imsep:          Projected separation star-planet [au]
# COLUMN imseperr1:      Projected separation star-planet Upper Unc. [au]
# COLUMN imseperr2:      Projected separation star-planet Lower Unc. [au]
# COLUMN imseplim:       Projected separation star-planet Limit Flag
# COLUMN imtruesep:      True separation star-planet [au]
# COLUMN imtrueseperr1:  True separation star-planet Upper Unc. [au]
# COLUMN imtrueseperr2:  True separation star-planet Lower Unc. [au]
# COLUMN imtrueseplim:   True separation star-planet Limit Flag
# COLUMN impa:           Position angle star-planet [deg]
# COLUMN impaerr1:       Position angle star-planet Upper Unc. [deg]
# COLUMN impaerr2:       Position angle star-planet Lower Unc. [deg]
# COLUMN impalim:        Position angle star-planet Limit Flag
# COLUMN imdist:         Distance [pc]
# COLUMN imdisterr1:     Distance Upper Unc. [pc]
# COLUMN imdisterr2:     Distance Lower Unc. [pc]
# COLUMN imdistlim:      Distance Limit Flag
# COLUMN imtelescope:    Telescope
# COLUMN iminstrument:   Instrument
# COLUMN imdateobs:      Date Obs [UT]
# COLUMN imcluster:      Cluster or group membership of host
# COLUMN imreflink:      Reference
# COLUMN imdisk:         Circumstellar Disk Detected?
# COLUMN imcorona:       Coronagraph Used?
# COLUMN imifu:          IFU Used?
# COLUMN ns:             Number of Stars
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN imjmag:         Stellar Magnitude J-band [mag]
# COLUMN imjmagerr:      Stellar Magnitude J-band Unc. [mag]
# COLUMN imjmaglim:      Stellar Magnitude J-band Limit Flag
# COLUMN imhmag:         Stellar Magnitude H-band [mag]
# COLUMN imhmagerr:      Stellar Magnitude H-band Unc. [mag]
# COLUMN imhmaglim:      Stellar Magnitude H-band Limit Flag
# COLUMN imkmag:         Stellar Magnitude K-band [mag]
# COLUMN imkmagerr:      Stellar Magnitude K-band Unc. [mag]
# COLUMN imkmaglim:      Stellar Magnitude K-band Limit Flag
# COLUMN imlpmag:        Stellar Magnitude Lp-band [mag]
# COLUMN imlpmagerr:     Stellar Magnitude Lp-band Unc. [mag]
# COLUMN imlpmaglim:     Stellar Magnitude Lp-band Limit Flag
# COLUMN implnjmag:      Planet Magnitude J-band [mag]
# COLUMN implnjmagerr:   Planet Magnitude J-band Unc. [mag]
# COLUMN implnjmaglim:   Planet Magnitude J-band Limit Flag
# COLUMN implnhmag:      Planet Magnitude H-band [mag]
# COLUMN implnhmagerr:   Planet Magnitude H-band Unc. [mag]
# COLUMN implnhmaglim:   Planet Magnitude H-band Limit Flag
# COLUMN implnkmag:      Planet Magnitude K-band [mag]
# COLUMN implnkmagerr:   Planet Magnitude K-band Unc. [mag]
# COLUMN implnkmaglim:   Planet Magnitude K-band Limit Flag
# COLUMN implnlpmag:     Planet Magnitude Lp-band [mag]
# COLUMN implnlpmagerr:  Planet Magnitude Lp-band Unc. [mag]
# COLUMN implnlpmaglim:  Planet Magnitude Lp-band Limit Flag
# COLUMN imstype:        Stellar Spectral Type
# COLUMN immass:         Stellar Mass [solar mass]
# COLUMN immasserr1:     Stellar Mass Upper Unc. [solar mass]
# COLUMN immasserr2:     Stellar Mass Lower Unc. [solar mass]
# COLUMN immasslim:      Stellar Mass Limit Flag
# COLUMN image:          Stellar Age [My]
# COLUMN imageerr1:      Stellar Age Upper Unc. [My]
# COLUMN imageerr2:      Stellar Age Lower Unc. [My]
# COLUMN imagelim:       Stellar Age Limit Flag
# COLUMN imlum:          Stellar Luminosity [solar luminosity]
# COLUMN imlumerr1:      Stellar Luminosity Upper Unc. [solar luminosity]
# COLUMN imlumerr2:      Stellar Luminosity Lower Unc. [solar luminosity]
# COLUMN imlumlim:       Stellar Luminosity Limit Flag
# COLUMN implmass:       Planet Mass [Jupiter mass]
# COLUMN implmasserr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN implmasserr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN implmasslim:    Planet Mass Limit Flag
# COLUMN implstype:      Planet Spectral Type
# COLUMN impltemp:       Planet Temperature [K]
# COLUMN impltemperr1:   Planet Temperature Upper Unc. [K]
# COLUMN impltemperr2:   Planet Temperature Lower Unc. [K]
# COLUMN impltemplim:    Planet Temperature Limit Flag
# COLUMN implradius:     Planet Radius [Jupiter radius]
# COLUMN implradiuserr1: Planet Radius Upper Unc. [Jupiter radius]
# COLUMN implradiuserr2: Planet Radius Lower Unc. [Jupiter radius]
# COLUMN implradiuslim:  Planet Radius Limit Flag
# COLUMN immodel:        Model Description
# COLUMN immodeldef:     Default Model
# COLUMN imnotes:        Notes
#
plntname,ra_str,ra,dec_str,dec,imdelthmag,imdelthmagerr,imdelthmaglim,imdeltjmag,imdeltjmagerr,imdeltjmaglim,imdeltkmag,imdeltkmagerr,imdeltkmaglim,imdeltlpmag,imdeltlpmagerr,imdeltlpmaglim,imangsep,imangseperr1,imangseperr2,imangseplim,imsep,imseperr1,imseperr2,imseplim,imtruesep,imtrueseperr1,imtrueseperr2,imtrueseplim,impa,impaerr1,impaerr2,impalim,imdist,imdisterr1,imdisterr2,imdistlim,imtelescope,iminstrument,imdateobs,imcluster,imreflink,imdisk,imcorona,imifu,ns,glon,glat,imjmag,imjmagerr,imjmaglim,imhmag,imhmagerr,imhmaglim,imkmag,imkmagerr,imkmaglim,imlpmag,imlpmagerr,imlpmaglim,implnjmag,implnjmagerr,implnjmaglim,implnhmag,implnhmagerr,implnhmaglim,implnkmag,implnkmagerr,implnkmaglim,implnlpmag,implnlpmagerr,implnlpmaglim,imstype,immass,immasserr1,immasserr2,immasslim,image,imageerr1,imageerr2,imagelim,imlum,imlumerr1,imlumerr2,imlumlim,implmass,implmasserr1,implmasserr2,implmasslim,implstype,impltemp,impltemperr1,impltemperr2,impltemplim,implradius,implradiuserr1,implradiuserr2,implradiuslim,immodel,immodeldef,imnotes
1RXS J160929.1-210524 b,16:09:30.31,242.3762680,-21:04:58.9,-21.08303600,,,,,,,7.250000000000e+00,1.800000000000e-01,0,,,,2.219,0.002,-0.002,0,330.0,,,0,,,,,27.7,0.1,-0.1,0,150.0,,,0,Gemini:Gillett,NIRI,2008-04-27,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref>Lafreniere et al. 2008</a>,1,0,0,1,352.89056,22.0304266,,,,,,,8.92,0.02,0,,,,,,,,,,1.617000000000e+01,1.800000000000e-01,0,,,,K7 V,0.85,0.20,-0.10,0,5,,,0,,,,,8,4.190000000000e+00,-2.090000000000e+00,0,L4,1800,200,-100,0,1.710000000000e-01,,,0,Chabrier et al. (2000),1,
HN Peg b,21:44:31.33,326.1305540,+14:46:19.0,14.77193930,,,,,,,,,,,,,43.200,0.400,-0.400,0,795.0,15.0,-15.0,0,,,,,254.4,0.6,-0.6,0,18.4,0.3,-0.3,0,IRTF,SpeX,2006-07-02,,<a href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..570L/abstract target=ref>Luhman et al. 2007</a>,1,0,0,1,69.85936,-28.2692843,,,,,,,,,,,,,1.586000000000e+01,3.000000000000e-02,0,15.40,0.03,0,1.512000000000e+01,3.000000000000e-02,0,,,,GOV,,,,,300,200,-200,0,,,,,22,9.400000000000e+00,-9.400000000000e+00,0,T2.5,1130,70,-70,0,1.070000000000e+00,1.400000000000e-01,-6.000000000000e-02,0,Burrows et al. (1997) and Baraffe et al. (2003),1,
HD 203030 b,21:18:58.97,319.7425840,+26:13:46.1,26.23054500,,,,,,,9.560000000000e+00,1.000000000000e-01,0,,,,11.923,0.021,-0.021,0,487.1,1.8,-1.8,0,,,,,108.8,0.1,-0.1,0,40.0,,,0,Hale,PHARO,2002-08-28,,<a href=https://ui.adsabs.harvard.edu/abs/2006ApJ...651.1166M/abstract target=ref>Metchev et al. 2006</a>,0,0,0,1,74.61358,-16.1177434,,,,,,,6.65,0.10,0,,,,1.813000000000e+01,5.500000000000e-01,0,16.85,0.12,0,1.621000000000e+01,1.000000000000e-01,0,,,,G8V,,,,,265,135,-135,0,,,,,24,8.400000000000e+00,-1.150000000000e+01,0,L7.5,1206,74,-116,0,1.060000000000e+00,1.600000000000e-01,-6.000000000000e-02,0,Burrows et al. (1997),1,The companion was detected on two other dates but the photometry and astrometry was not listed for those detections individually.
GQ Lup b,15:49:12.10,237.3004270,-35:39:05.1,-35.65142100,,,,,,,6.004000000000e+00,1.000000000000e-01,0,,,,0.733,0.003,-0.003,0,,,,,,,,,,,,,140.0,50.0,-50.0,0,VLT:Yepun,NACO,2004-06-25,Lupus,<a href=https://ui.adsabs.harvard.edu/abs/2005A&A...435L..13N/abstract target=ref>Neuhauser et al. 2005</a>,1,0,0,1,338.92535,14.5108803,,,,,,,7.10,0.02,0,,,,,,,,,,1.310000000000e+01,1.000000000000e-01,0,,,,K7eV,,,,,1,1,-1,0,,,,,22,2.050000000000e+01,-2.050000000000e+01,0,,,,,,,,,,"Wuchterl and Tscharnuter (2003), Burrows et al. (1997), Baraffe et al. (2002)",1,
HD 100546 b,11:33:25.44,173.3560030,-70:11:41.2,-70.19478610,,,,,,,9.600000000000e+00,6.000000000000e-02,0,9.400000000000e+00,1.000000000000e-01,0,0.457,0.014,-0.014,0,53.0,2.0,-2.0,0,,,,,8.4,1.4,-1.4,0,97.0,4.0,-4.0,0,VLT:Yepun,NACO,2013-04-18,,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...807...64Q/abstract target=ref>Quanz et al. 2015</a>,1,1,0,1,296.36728,-8.3236350,,,,,,,5.83,0.06,0,4.52,0.020,0,,,,,,,1.543000000000e+01,6.000000000000e-02,-1,1.392000000000e+01,1.000000000000e-01,0,,2.40,0.10,0.10,0,5,5,-4,0,32.0,,,0,8,2.500000000000e+00,-2.500000000000e+00,0,,932,193,-202,0,6.900000000000e+00,2.700000000000e+00,-2.900000000000e+00,0,"Blackbody fitting, this work; Baraffe et al. (2003), Fortney et al (2008)",1,
2MASS J04414489+2301513 b,04:41:44.90,70.4370730,+23:01:51.4,23.03094100,1.68,0.10,0,,,,1.540000000000e+00,1.000000000000e-01,0,,,,0.105,0.004,-0.004,0,,,,,,,,,120.4,2.2,-2.2,0,140.0,,,0,Gemini:Gillett,NIRI,2009-10-13,Taurus,<a href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref>Todorov et al. 2010</a>,1,0,0,1,176.51059,-15.1142495,,,,13.94,0.030,0,13.40,0.03,0,,,,,,,15.62,0.10,0,1.494000000000e+01,1.000000000000e-01,0,,,,M8.5,0.02,,,0,1,,,0,,,,,8,2.500000000000e+00,-2.500000000000e+00,0,,,,,,,,,,"Chabrier et al. (2000), Burrows et al. (1997)",1,
Fomalhaut b,22:57:39.05,344.4126890,-29:37:20.1,-29.62223630,,,,,,,,,,,,,12.700,,,0,97.6,,,0,1.300000000000e+02,1.000000000000e+01,-1.000000000000e+01,0,,,,,7.7,,,0,"HST, Keck:II, Gemini:Gillett","ACS/HRC, NIRC2, NIRI","2004-10-25,2004-10-26,2005-07-17,2005-07-21,2005-07-27,2005-07-28,2005-10-21,2005-10-22,2006-07-14,2006-07-15,2006-07-16,2006-07-17,2006-07-18,2006-07-19,2006-07-20,2008-09-17,2008-09-18",,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1345K/abstract target=ref>Kalas et al. 2008</a>,1,1,0,1,20.48802,-64.9095697,,,,,,,,,,,,,,,,22.90,,-1,,,,1.660000000000e+01,,-1,A3V,,,,,200,100,-100,0,,,,,3,,,1,,,,,,1.200000000000e+00,,,0,Kalas et al. (2008),1,Fomalhaut b has a published refutation. See <a href=https://exoplanetarchive.ipac.caltech.edu/docs/removed_targets.html>refuted targets</a>.
ROXs 42 B b,16:31:15.02,247.8125670,-24:32:43.7,-24.54547100,6.86,0.05,0,,,,,,,,,,1.169,0.005,-0.005,0,150.0,,,0,,,,,269.6,0.2,-0.2,0,135.0,,,0,Keck:II,NIRC2,2011-06-22,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L..30C/abstract target=ref>Currie et al. 2014</a>,0,0,0,2,353.70707,15.9898273,9.91,0.020,0,9.02,0.020,0,8.67,0.02,0,,,,,,,15.88,0.05,0,,,,,,,M0,,,,,2,1,-1,0,,,,,10,4.500000000000e+00,-4.500000000000e+00,0,M8-L0,2200,400,-400,0,,,,,"Spiegel & Burrows (2012), AMES/DUSTY (Allard et al. 2001), Baraffe et al. (2003)",1,
ROXs 12 b,16:26:27.76,246.6156090,-25:27:24.7,-25.45686500,5.44,0.01,0,5.620000000000e+00,2.000000000000e-02,0,5.020000000000e+00,1.000000000000e-02,0,4.120000000000e+00,1.000000000000e-02,0,1.781,0.002,-0.002,0,210.0,20.0,-20.0,0,,,,,9.1,0.1,-0.1,0,120.0,,,0,Keck:II,NIRC2,,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...20K/abstract target=ref>Kraus et al. 2014</a>,0,1,0,1,352.24976,352.2497600,11.02,,0,9.93,,0,9.26,,0,8.43,,,1.664000000000e+01,7.000000000000e-02,0,15.37,0.08,0,1.432000000000e+01,6.000000000000e-02,0,1.255000000000e+01,9.000000000000e-02,0,M0,0.87,0.08,-0.08,0,8,4,-2,0,,,,,16,4.000000000000e+00,-4.000000000000e+00,0,,,,,,,,,,Kraus et al. 2014,1,"imangsep and impa are the average across J, H, K and L bands. The date of observations is not included."
PDS 70 b,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,9.12,0.24,0,,,,7.810000000000e+00,3.100000000000e-01,0,6.840000000000e+00,6.200000000000e-01,0,0.195,,,0,22.0,,,0,,,,,155.0,,,0,113.4,0.5,-0.5,0,"Gemini:South, VLT:Melipal","NICI, SPHERE/IRDIS","2012-03-31, 2015-05-03, 2015-05-31, 2016-05-14, 2016-06-01",Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A..44K/abstract target=ref>Keppler et al. 2018</a>,1,1,1,1,318.06210,19.2085494,9.55,0.024,0,8.82,0.040,0,8.54,0.02,0,7.91,0.030,0,,,,17.94,0.24,0,1.635000000000e+01,3.100000000000e-01,0,1.475000000000e+01,6.200000000000e-01,0,K7,0.76,0.02,-0.02,0,5,1,-1,0,0.3,0,0,0,6,1.000000000000e+00,-1.000000000000e+00,0,L,1200,200,-200,0,,,,,"Bern Exoplanet (BEX) evolution models, Mordasini et al. (2017), DUSTY, Chabrier et al. (2000)",1,"Planet H mag and delta H mag are in H2, and planet K mag and delta K mag are K1 on IRDIS."
PDS 70 c,14:08:10.16,212.0423330,-41:23:52.58,-41.39793890,7.70,0.20,0,,,,8.800000000000e+00,2.000000000000e-01,0,6.600000000000e+00,2.000000000000e-01,0,0.277,0.006,-0.006,0,27.2,0.5,-0.5,0,3.450000000000e+01,2.000000000000e+00,-2.000000000000e+00,0,277.0,6.5,6.5,0,113.4,0.5,-0.5,0,"VLT:Melipal, VLT:Antu, VLT:Yepun","SPHERE/IRDIS, NACO, MUSE","2016-05-14, 2016-06-01, 2016-06-20",Sco OB2/Upper Centaurus-Lupus (UCL),<a href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3..749H/abstract target=ref>Haffert et al. 2019</a>,1,1,1,1,318.06210,19.2085494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,-1,0,,,,,8,4.000000000000e+00,-4.000000000000e+00,0,,,,,,,,,,Allard et al. (2001),1,Delta H mag is H-alpha and delta K mag is K1.
Oph 11 b,16:22:25.21,245.6050580,-24:05:13.9,-24.08720800,0.69,0.03,0,8.200000000000e-01,3.000000000000e-02,0,5.200000000000e-01,3.000000000000e-02,0,,,,1.943,0.022,-0.022,0,242.9,25.0,-25.0,0,,,,,176.2,0.5,-0.5,0,125.0,25.0,-25.0,0,Gemini:Gillett,NIRI,2006-07-01,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2007ApJ...660.1492C/abstract target=ref>Close et al. 2007</a>,1,0,0,1,352.67858,17.8032159,15.04,0.050,0,14.19,0.070,0,13.92,0.07,0,,,,1.586000000000e+01,5.000000000000e-02,0,14.88,0.05,0,1.444000000000e+01,4.400000000000e-01,0,,,,,,,,,,,,,,,,,14,6.000000000000e+00,-5.000000000000e+00,0,M9.5,2175,175,-175,0,,,,,"DUSTY, Chabrier et al. 2000",1,"The imjmag, imhmag, and imkmag refer to Oph 11 A, not necessarily a star. The system is possibly a Brown Dwarf Binary; The imkmag, implnkmag, and imdeltkmag values are in Ks-band."
HR 8799 b,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,12.57,0.18,0,1.390000000000e+01,1.710000000000e-01,0,1.179000000000e+01,1.240000000000e-01,0,1.042000000000e+01,1.150000000000e-01,0,1.730,0.005,-0.005,0,68.2,1.0,-1.0,0,,,,,,,,,39.4,1.0,-1.0,0,Keck:II,NIRC2,"2004-07-14, 2007-10-25, 2008-07-11, 2008-08-12, 2008-09-18",,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,0.027,0,5.28,0.018,0,5.24,0.02,0,5.22,0.018,0,1.928000000000e+01,1.690000000000e-01,0,17.85,0.18,0,1.703000000000e+01,1.230000000000e-01,0,1.564000000000e+01,1.140000000000e-01,0,A5V,1.50,0.30,-0.30,0,60,100,-30,0,4.9,0,0,0,7,4.000000000000e+00,-2.000000000000e+00,0,L,870,30,-70,0,1.200000000000e+00,1.000000000000e-01,-1.000000000000e-01,0,Baraffe et al. (2003),1,
HR 8799 c,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,11.63,0.18,0,1.225000000000e+01,2.000000000000e-01,0,1.087000000000e+01,9.900000000000e-02,0,9.500000000000e+00,1.080000000000e-01,0,0.950,0.005,0.005,0,37.4,1.0,-1.0,0,,,,,,,,,39.4,1.0,-1.0,0,Keck:II,NIRC2,"2004-07-14, 2007-10-17, 2007-10-25, 2008-07-11, 2008-08-12, 2008-09-18",,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,0.027,0,5.28,0.018,0,5.24,0.02,0,5.22,0.018,0,1.763000000000e+01,1.980000000000e-01,0,16.91,0.18,0,1.611000000000e+01,9.700000000000e-02,0,1.472000000000e+01,1.060000000000e-01,0,A5V,1.50,0.30,-0.30,0,60,100,-30,0,4.9,0,0,0,10,3.000000000000e+00,-3.000000000000e+00,0,L,1090,10,-90,0,1.200000000000e+00,1.000000000000e-01,-1.000000000000e-01,0,Baraffe et al. (2003),1,
HR 8799 d,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,11.56,0.23,0,1.286000000000e+01,4.340000000000e-01,0,1.085000000000e+01,1.330000000000e-01,0,9.320000000000e+00,1.700000000000e-01,0,0.630,0.005,-0.005,0,24.8,1.0,-1.0,0,,,,,,,,,39.4,1.0,-1.0,0,Keck:II,NIRC2,"2007-10-17, 2008-07-11, 2008-08-12, 2008-09-18",,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,0.027,0,5.28,0.018,0,5.24,0.02,0,5.22,0.018,0,1.824000000000e+01,4.330000000000e-01,0,16.84,0.23,0,1.609000000000e+01,1.320000000000e-01,0,1.454000000000e+01,1.690000000000e-01,0,A5V,1.50,0.30,-0.30,0,60,100,-30,0,4.9,0,0,0,10,3.000000000000e+00,-3.000000000000e+00,0,L,1090,10,-90,0,1.200000000000e+00,1.000000000000e-01,-1.000000000000e-01,0,,1,
HR 8799 e,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,,,,,,,1.067000000000e+01,2.200000000000e-01,0,9.370000000000e+00,1.200000000000e-01,0,,,,,14.5,0.4,-0.4,0,,,,,242.0,1.0,1.0,0,39.4,1.0,-1.0,0,Keck:II,NIRC2,2009-11-01,,<a href=https://ui.adsabs.harvard.edu/abs/2010Natur.468.1080M/abstract target=ref>Marois et al. 2010</a>,1,1,0,1,92.76421,-35.5750779,,,,,,,5.24,,0,5.22,,0,,,,,,,1.591000000000e+01,2.270000000000e-01,0,1.459000000000e+01,1.320000000000e-01,0,A5V,1.50,0.30,-0.30,0,60,100,-30,0,4.9,0,0,0,10,3.000000000000e+00,-3.000000000000e+00,0,,,,,,,,,,,1,Delta K mag and planet K mag is Ks.
HR 2562 b,06:50:01.02,102.5042270,-60:14:56.9,-60.24914550,11.70,0.10,0,,,,,,,,,,0.619,0.003,-0.003,0,20.3,0.3,-0.3,0,,,,,297.6,0.3,-0.3,0,33.6,0.5,-0.5,0,Gemini:South,GPI,2016-01-25,,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...829L...4K/abstract target=ref>Konopacky et al. 2016</a>,1,1,1,1,270.17577,-23.4917962,,,,,,,,,,,,,,,,16.83,0.10,0,,,,,,,F5V,1.30,,,0,600,300,-300,0,,,,,30,1.500000000000e+01,-1.500000000000e+01,0,L7,1200,100,-100,0,1.110000000000e+00,1.100000000000e-01,-1.100000000000e-01,0,Saumon & Marley (2008),1,
HIP 78530 b,16:01:55.46,240.4810640,-21:58:49.4,-21.98038860,7.44,0.05,0,8.130000000000e+00,5.000000000000e-02,0,7.270000000000e+00,5.000000000000e-02,0,,,,4.533,0.006,-0.006,0,710.0,60.0,-60.0,0,,,,,140.3,0.1,-0.1,0,156.7,,,0,Gemini:Gillett,NIRI,2009-07-02,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...42L/abstract target=ref>Lafreniere et al. 2011</a>,0,0,0,1,350.87063,22.6810591,6.93,0.021,0,6.95,0.029,0,6.90,0.02,0,,,,1.506000000000e+01,5.000000000000e-02,0,14.39,0.04,0,1.417000000000e+01,4.000000000000e-02,0,,,,B9V,2.50,,,0,5,1,-1,0,,,,,24,2.500000000000e+00,-2.500000000000e+00,0,,,,,,,,,,Chabrier et al. 2000,1,
HD 95086 b,10:57:03.02,164.2625890,-68:40:02.4,-68.66734310,,,,,,,,,,9.790000000000e+00,4.000000000000e-01,0,0.624,0.007,-0.007,0,56.4,0.7,-0.7,0,,,,,151.8,0.8,-0.8,0,90.4,3.4,-3.4,0,VLT:Yepun,NACO,"2012-01-11, 2013-02-14, 2013-03-14",Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...772L..15R/abstract target=ref>Rameau et al. 2013</a>,1,0,0,1,292.80292,-8.0752820,,,,,,,6.79,0.02,0,6.70,0.040,0,,,,,,,1.769000000000e+01,,-1,1.649000000000e+01,5.000000000000e-01,0,A8 III,1.60,,,0,17,2,-2,0,,,,,5,1.000000000000e+00,-1.000000000000e+00,0,,1000,200,-200,0,,,,,"COND, Baraffe et al. (2003)",1,
HD 106906 b,12:17:53.19,184.4716340,-55:58:31.9,-55.97552490,,,,1.070000000000e+01,3.000000000000e-01,0,8.780000000000e+00,6.000000000000e-02,0,7.940000000000e+00,5.000000000000e-02,0,7.110,0.030,-0.030,0,654.1,6.0,-6.0,0,,,,,307.3,0.2,-0.2,0,92.0,6.0,-6.0,0,Magellan:Clay,MagAO/Clio2,2013-04-04 2013-04-12,Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L...4B/abstract target=ref>Bailey et al. 2014</a>,1,1,0,1,298.21888,6.5889667,6.95,0.030,0,6.68,0.050,0,6.68,0.03,0,6.70,0.100,0,1.760000000000e+01,3.000000000000e-01,0,,,,1.546000000000e+01,6.000000000000e-02,0,1.460000000000e+01,1.000000000000e-01,0,F5V,1.50,0.10,-0.10,0,13,2,-2,0,,,,,11,2.000000000000e+00,-2.000000000000e+00,0,L2.5 &plusmn; 1,1800,100,-100,0,,,,,"DUSTY (cloud) and COND (cloud-free), Chabrier et al. 2000, Baraffe et al. 2003",1,The imhmag is in H2-band.
GJ 504 b,13:16:46.52,199.1938170,+09:25:27.0,9.42415619,16.28,0.14,0,1.580400000000e+01,1.500000000000e-01,0,1.538200000000e+01,2.800000000000e-01,0,1.290000000000e+01,2.100000000000e-01,0,2.499,0.026,-0.026,0,43.9,0.1,-0.1,0,,,,,326.1,0.6,-0.6,0,17.6,0.1,-0.1,0,Subaru,"IRCS, HiCIAO","2011-03-26, 2011-05-22, 2011-08-12, 2011-08-15, 2012-02-28, 2012-04-12, 2012-05-25",,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref>Kuzuhara et al. 2013</a>,0,0,0,1,322.79015,71.3123997,4.11,,0,3.86,,0,3.81,,0,3.94,0.090,0,1.991000000000e+01,1.500000000000e-01,0,20.14,0.14,0,1.919000000000e+01,2.800000000000e-01,0,1.684000000000e+01,1.900000000000e-01,0,G0V,1.22,0.08,-0.08,0,160,70,-60,0,0.3,0,0,0,4,4.500000000000e+00,-1.000000000000e+00,0,T/Y,510,30,-20,0,,,,,"COND, Baraffe et al. 2003",1,
2MASS J12073346-3932539 b,12:07:33.47,181.8894470,-39:32:54.0,-39.54833200,5.70,0.21,0,5.500000000000e+00,,-1,4.980000000000e+00,1.140000000000e-01,0,3.900000000000e+00,1.720000000000e-01,0,0.778,,,0,55.0,,,0,,,,,125.8,,,0,70.0,,,0,VLT:Yepun,NACO,2004-04-27,,<a href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref>Chauvin et al. 2004</a>,1,0,0,1,293.79036,22.5432974,13.00,0.030,0,12.39,0.030,0,11.95,0.03,0,11.38,0.100,0,1.850000000000e+01,,-1,18.09,0.21,0,1.693000000000e+01,1.100000000000e-01,0,1.528000000000e+01,1.400000000000e-01,0,M8.5,,,,,8,2,-2,0,,,,,5,2.000000000000e+00,-2.000000000000e+00,0,L5-L9.5,1250,200,-200,0,,,,,"DUSTY, Chabrier et al. (2000), COND, Baraffe et al. (2002)",1,
